filename,relative_path,file_format,file_size_bytes,sha256,row_count,column_count,column_names,probable_dataset,date_range_start,date_range_end,notes
sensor_transactions.csv,raw/field/sensor_transactions.csv,csv,24552574,e5fda53166f11ee3dcbd59c92bfc4014516a382c3caa11a39b4564a9a2f1e9ed,146400,17,timestamp|tx_id|sensor_id|device_id|zone|gateway_id|reading_id|soil_moisture|temp_c|operation|resource|decision|latency_ms|rbac_overhead_ms|signature_valid|crt_residues_received|energy_mj,sensor_transactions,2025-08-01 00:00:00+01:00,2025-09-30 23:30:00+01:00,61-day field sensor writes
authorization_decisions.csv,raw/field/authorization_decisions.csv,csv,26453698,4fc877e6a79f8a525759f6b6345ffc760674387270b05e14f7eb37271bb99598,209000,11,timestamp|entry_id|tx_id|caller_id|caller_role|operation|resource|zone|decision|deny_reason|latency_ms,authorization_decisions,2025-08-01 00:00:00+01:00,2025-09-30 23:59:03+01:00,61-day field access-control decisions
revocation_stages.csv,raw/field/revocation_stages.csv,csv,13226,f8673e5c07d7ef449adbf12a86098d0d227818f77408cf6b30879e4b94c10d86,200,5,event_id|cert_user_id|stage_name|stage_timestamp|status,revocation_stages,2025-08-04 04:17:05+01:00,2025-09-27 13:03:54+01:00,Field revocation lifecycle stage records
revocation_denials.csv,raw/field/revocation_denials.csv,csv,83035,0c292d0a9e148e5b701a9c3c6e83b1a0978222024ff75850a6614bbe907e8766,973,6,timestamp|attempt_id|caller_id|resource|decision|deny_reason,revocation_denials,2025-08-05 13:47:33+01:00,2025-09-30 23:33:36+01:00,Field access attempts denied for revocation
connectivity_outages.csv,raw/field/connectivity_outages.csv,csv,460,61b244ed798abb8323800cedbeb620c6532ce98e4bd9d3cd9974cd6bd1ecfde2,3,6,start_time|end_time|event_type|duration_hours|affected_component|notes,connectivity_outages,2025-08-17 04:00:00+01:00,2025-08-24 01:00:00+01:00,Field gateway connectivity outage log
raw_field_topology.csv,raw/field/raw_field_topology.csv,csv,2616,c229d3f87a9c8fa61facb46c19423451de0e024319d3ae5b928df18b8ea3d3e9,50,6,sensor_id|device_id|zone|gateway_id|model|cert_validity_months,raw_field_topology,,,Sensor/gateway/zone topology
peer_scaling_runs.csv,raw/experiments/peer_scaling_runs.csv,csv,3316,60cff8e04f61247880827b9b059edd24f85aa6b2b939c6ab387e2edd0b4825fc,32,6,run_id|peer_count|start_timestamp|end_timestamp|host_id|session_id,peer_scaling_runs,2025-10-01 09:00:00+01:00,2025-10-07 20:35:27+01:00,Controlled peer-multiplicity run manifest
peer_scaling_transactions.csv,raw/experiments/peer_scaling_transactions.csv,csv,513307,843c2a9047e783cedcc560c6a0a5955a9517683a17c3be1209641763eac94016,4160,10,run_id|peer_count|block_id|serial_position|tx_id|timestamp|latency_ms|rbac_overhead_ms|host_id|session_id,peer_scaling_transactions,2025-10-01 09:00:00+01:00,2025-10-07 20:36:35+01:00,Controlled peer-multiplicity per-transaction latency
throughput_runs.csv,raw/experiments/throughput_runs.csv,csv,11269,8cdc4f5b0d42d5c54b205f2c7f384bb624dbab9c668103753e8a1b23c16a9907,100,9,run_id|concurrency_level|condition|tps|duration_seconds|total_transactions|start_timestamp|end_timestamp|session_id,throughput_runs,2025-10-04 09:00:00+01:00,2025-10-04 11:07:26+01:00,Controlled throughput campaign run manifest
energy_measurements.csv,raw/experiments/energy_measurements.csv,csv,11231,ecf48dd8c3d6fa447df00b1ce4ec879c744de0c54bb3d87b4d687395da017daa,300,5,sample_id|mode|payload_bytes|energy_mj|airtime_ms,energy_measurements,1970-01-01 00:00:00.000000018,1970-01-01 00:00:00.000000102,Controlled LoRa energy-per-transmission measurements
cryptographic_timings.csv,raw/experiments/cryptographic_timings.csv,csv,26307,5ef9af4c77909e24284ede0a500728b39efe4120288816b95403ef1c9d527c0e,900,3,sample_id|operation|duration_us,cryptographic_timings,,,Controlled Ed25519/SHA-256 timing measurements
authorization_boundary_attempts.csv,raw/security/authorization_boundary_attempts.csv,csv,1123732,bedfd1299b1d66c077e34b2c0df2e9ea365abb52cf3861c87b3b3e118b60e4c3,8000,11,timestamp|attempt_id|scenario|attacker_id|attacker_role|operation|resource|zone|decision|deny_reason|blocked,authorization_boundary_attempts,2025-09-15 08:00:44+01:00,2025-09-21 07:55:22+01:00,Scripted authorization boundary-test corpus
esp32-001.log,raw/provenance/device_logs/esp32-001.log,jsonl-per-line,930512,b73866dfac4e9f4cade59e0c04c43a2df110b68dc40943a99299478115a342ab,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-002.log,raw/provenance/device_logs/esp32-002.log,jsonl-per-line,930533,859e5ec587ae8d2a719cb54fb3aa4c60b8fd30cb87e9b8488cad05356f38d98d,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-003.log,raw/provenance/device_logs/esp32-003.log,jsonl-per-line,930534,5c17d0d21e7ced93458f07dca64371971b0ba123c2b214f92530b23b3eacd172,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-004.log,raw/provenance/device_logs/esp32-004.log,jsonl-per-line,930543,1ef9a007a2ca30ec6970a39ca2aa144b7262bfcb1a0cdfdecd1cf6c8aefb1a3c,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-005.log,raw/provenance/device_logs/esp32-005.log,jsonl-per-line,930500,198201b86945ebee7b6ea90abc4708dc0969dc48c355046c32510c83e0d83037,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-006.log,raw/provenance/device_logs/esp32-006.log,jsonl-per-line,930498,eb82e7812fea65d93af697efe8501ac41bafa5ed71a2fefa997a0a0ad779530c,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-007.log,raw/provenance/device_logs/esp32-007.log,jsonl-per-line,930529,d947ec5772c93d8b31bbc01d750fd25c134d2f97de9229f8af2956c4fc0dd96c,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-008.log,raw/provenance/device_logs/esp32-008.log,jsonl-per-line,930522,218c17b649d61183ab83b5fc0b190fc4b19bc3a6218edd3afb592c49790e7ce5,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-009.log,raw/provenance/device_logs/esp32-009.log,jsonl-per-line,930532,9792b966679db35942772b8f739e6ea896f5af70c5b72898fc1cacbcf7d9b168,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-010.log,raw/provenance/device_logs/esp32-010.log,jsonl-per-line,930552,28af74c6fd58fe00649c4a736080c8482b77f415532d04fd66f2f56409643ec3,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-011.log,raw/provenance/device_logs/esp32-011.log,jsonl-per-line,930535,b5ae8fa20c362a1fcd18b0c493280906797d2ca2f2d25fee8792cce14e7547c4,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-012.log,raw/provenance/device_logs/esp32-012.log,jsonl-per-line,930488,83a75dc55f71af5270bdd79b734abdeb3f39177e2b61e1b23adf6d3cc1a3a810,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-013.log,raw/provenance/device_logs/esp32-013.log,jsonl-per-line,930478,1e25c4c13d39c20721e127c142c3abc7606ed48b41536c00620c869adc0f08c8,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-014.log,raw/provenance/device_logs/esp32-014.log,jsonl-per-line,930505,20ca8a962725fe08d5dc7c79c7ed249b49c2013adc1b70c901ece17e7249554f,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
esp32-015.log,raw/provenance/device_logs/esp32-015.log,jsonl-per-line,930540,1a42d85924da331ff5c8ceb0cd41c16b17f5fa9703c3c6bfc71fd647e9ca9f8c,2928,,,provenance_sample,,,"illustrative sample log, see DATA_PROVENANCE_REPORT.md"
