timestamp,attempt_id,scenario,attacker_id,attacker_role,operation,resource,zone,decision,deny_reason,blocked
2025-08-01T02:17:34Z,SA-0000001,sensor_cross_sensor,atk-0112,Sensor,ReadAll,IrrigationControl,East,DENY,POLICY_VIOLATION,True
2025-08-01T03:25:04Z,SA-0000002,sensor_cross_sensor,atk-0201,Sensor,ControlZone,RoleAssignment,West,DENY,ZONE_MISMATCH,True
2025-08-01T05:02:33Z,SA-0000003,sensor_cross_sensor,atk-0339,Sensor,ControlZone,IrrigationControl,South,DENY,CERT_REVOKED,True
2025-08-01T06:02:00Z,SA-0000004,sensor_cross_sensor,atk-0298,Sensor,ControlZone,SensorData,North,DENY,POLICY_VIOLATION,True
2025-08-01T06:35:12Z,SA-0000005,sensor_cross_sensor,atk-0032,Sensor,ManageRoles,AuditLog,East,DENY,IDS_BLOCKED,True
2025-08-01T07:57:25Z,SA-0000006,sensor_cross_sensor,atk-0027,Sensor,ReadAll,AuditLog,South,DENY,ZONE_MISMATCH,True
2025-08-01T08:14:57Z,SA-0000007,sensor_cross_sensor,atk-0145,Sensor,ReadAll,RoleAssignment,South,DENY,ZONE_MISMATCH,True
2025-08-01T09:03:35Z,SA-0000008,sensor_cross_sensor,atk-0327,Sensor,WriteSensor,AuditLog,North,DENY,POLICY_VIOLATION,True
2025-08-01T12:06:19Z,SA-0000009,sensor_cross_sensor,atk-0482,Sensor,ReadAudit,RoleAssignment,West,DENY,CERT_REVOKED,True
2025-08-01T12:28:52Z,SA-0000010,sensor_cross_sensor,atk-0040,Sensor,ReadAll,RoleAssignment,West,DENY,ROLE_INSUFFICIENT,True
2025-08-01T13:58:19Z,SA-0000011,sensor_cross_sensor,atk-0350,Sensor,ReadAll,AuditLog,East,DENY,ROLE_INSUFFICIENT,True
2025-08-01T14:14:42Z,SA-0000012,sensor_cross_sensor,atk-0135,Sensor,ControlZone,IrrigationControl,West,DENY,CERT_REVOKED,True
2025-08-01T14:17:57Z,SA-0000013,sensor_cross_sensor,atk-0473,Sensor,ManageRoles,IrrigationControl,East,DENY,POLICY_VIOLATION,True
