timestamp,tx_id,sensor_id,device_id,zone,gateway_id,reading_id,soil_moisture,temp_c,operation,resource,decision,latency_ms,rbac_overhead_ms,signature_valid,crt_residues_received,energy_mj
2025-08-01T00:00:00Z,SW-00000001,sns-001,dev-n01,North,gw-north-01,1,45.33,21.06,WriteSensor,SensorData,GRANT,1220.0,317.1,True,2,12.715
2025-08-01T00:00:00Z,SW-00000002,sns-002,dev-n02,North,gw-north-01,2,40.62,20.78,WriteSensor,SensorData,GRANT,1180.3,326.1,True,2,12.337
2025-08-01T00:00:00Z,SW-00000003,sns-003,dev-n03,North,gw-north-01,3,43.01,20.51,WriteSensor,SensorData,GRANT,1155.8,310.0,True,2,12.596
2025-08-01T00:00:00Z,SW-00000004,sns-004,dev-n04,North,gw-north-01,4,43.12,19.58,WriteSensor,SensorData,GRANT,1197.9,324.5,True,2,12.346
2025-08-01T00:00:00Z,SW-00000005,sns-005,dev-n05,North,gw-north-01,5,39.43,19.41,WriteSensor,SensorData,GRANT,1226.5,324.5,True,2,11.77
2025-08-01T00:00:00Z,SW-00000006,sns-006,dev-n06,North,gw-north-01,6,43.75,18.0,WriteSensor,SensorData,GRANT,1234.5,320.4,True,2,11.793
2025-08-01T00:00:00Z,SW-00000007,sns-007,dev-n07,North,gw-north-01,7,44.29,20.36,WriteSensor,SensorData,GRANT,1178.1,320.5,True,2,12.292
2025-08-01T00:00:00Z,SW-00000008,sns-008,dev-n08,North,gw-north-01,8,44.38,19.78,WriteSensor,SensorData,GRANT,1303.3,315.3,True,2,12.362
2025-08-01T00:00:00Z,SW-00000009,sns-009,dev-n09,North,gw-north-01,9,44.16,20.73,WriteSensor,SensorData,GRANT,1252.2,320.3,True,2,11.997
2025-08-01T00:00:00Z,SW-00000010,sns-010,dev-n10,North,gw-north-01,10,43.92,18.0,WriteSensor,SensorData,GRANT,1237.8,295.0,True,2,12.867
2025-08-01T00:00:00Z,SW-00000011,sns-011,dev-n11,North,gw-north-01,11,40.26,18.48,WriteSensor,SensorData,GRANT,1139.1,350.2,True,2,11.758
2025-08-01T00:00:00Z,SW-00000012,sns-012,dev-n12,North,gw-north-01,12,43.05,21.92,WriteSensor,SensorData,GRANT,1223.0,352.8,True,2,12.468
2025-08-01T00:00:00Z,SW-00000013,sns-013,dev-n13,North,gw-north-01,13,45.23,19.51,WriteSensor,SensorData,GRANT,1263.0,378.8,True,2,11.719
2025-08-01T00:00:00Z,SW-00000014,sns-014,dev-s01,South,gw-south-01,14,44.76,18.29,WriteSensor,SensorData,GRANT,1192.6,314.9,True,2,12.183
2025-08-01T00:00:00Z,SW-00000015,sns-015,dev-s02,South,gw-south-01,15,39.36,20.92,WriteSensor,SensorData,GRANT,1122.6,336.5,True,2,12.512
2025-08-01T00:00:00Z,SW-00000016,sns-016,dev-s03,South,gw-south-01,16,46.37,18.0,WriteSensor,SensorData,GRANT,1234.1,270.5,True,2,12.765
2025-08-01T00:00:00Z,SW-00000017,sns-017,dev-s04,South,gw-south-01,17,42.92,18.99,WriteSensor,SensorData,GRANT,1154.4,320.3,True,2,12.23
2025-08-01T00:00:00Z,SW-00000018,sns-018,dev-s05,South,gw-south-01,18,47.19,18.5,WriteSensor,SensorData,GRANT,1294.0,346.9,True,2,12.64
2025-08-01T00:00:00Z,SW-00000019,sns-019,dev-s06,South,gw-south-01,19,46.24,20.94,WriteSensor,SensorData,GRANT,1286.4,330.9,True,2,12.858
2025-08-01T00:00:00Z,SW-00000020,sns-020,dev-s07,South,gw-south-01,20,45.49,20.59,WriteSensor,SensorData,GRANT,1288.9,309.4,True,2,12.433
2025-08-01T00:00:00Z,SW-00000021,sns-021,dev-s08,South,gw-south-01,21,42.95,18.27,WriteSensor,SensorData,GRANT,1304.5,298.2,True,2,12.79
