outage_id,gateway_id,zone_id,sensor_id,outage_type,outage_start,outage_end,expected_readings,captured_readings,gateway_received_readings,committed_readings,committed_during_outage,committed_after_recovery,missing_readings,duplicate_readings,sequence_gaps,median_commit_delay_minutes,maximum_commit_delay_minutes,buffering_evidence,status
OUT-01,gw-north,North,sns-001,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-001); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-002,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-002); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-003,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-003); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-004,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-004); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-005,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-005); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-006,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-006); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-007,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-007); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-008,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-008); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-009,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-009); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-010,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-010); gateway log: CONFIRMED,verified_buffered_replay
OUT-01,gw-north,North,sns-011,lora_link_failure,2025-08-17T04:00:00+01:00,2025-08-17T12:42:00+01:00,17,0,not_available,2928,0,18,0,0,0,not_available_single_timestamp_field,not_available_single_timestamp_field,0 readings during outage; 18 recovered in a burst immediately after reconnection (expected ~17 missed slots); reading_id sequence continuous (sns-011); gateway log: CONFIRMED,verified_buffered_replay
