category,doi,status,title,authors,year,venue,publisher,type,cited_by,sources,doi_url,oa_pdf_url,downloaded,file
"cited_reference","10.1002/cpe.5479","verified","A blockchain‐based architecture for securing electronic health record systems","Guang Yang; Chunlei Li; Kjell E. Marstein","2019","Concurrency and Computation: Practice and Experience","Wiley","journal-article","37","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1002/cpe.5479","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/cpe.5479","no",""
"cited_reference","10.1007/978-","malformed_or_incomplete","","","","","","","","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1007/978-","","no",""
"cited_reference","10.1007/978-3-030-12719-0_8","verified","Applying Blockchain and Artificial Intelligence to Digital Health","Dragos Ilinca","2019","Health Informatics","Springer International Publishing","book-chapter","4","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1007/978-3-030-12719-0_8","","no",""
"cited_reference","10.1007/978-981-15-5566-4_34","verified","Blockchain Technology: Consensus Protocol Proof of Work and Proof of Stake","B. Sriman; S. Ganesh Kumar; P. Shamili","2020","Advances in Intelligent Systems and Computing","Springer Singapore","book-chapter","91","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1007/978-981-15-5566-4_34","","no",""
"cited_reference","10.1007/s00521-018-3915-1","verified","RETRACTED ARTICLE: Securing e-health records using keyless signature infrastructure blockchain technology in the cloud","Gayathri Nagasubramanian; Rakesh Kumar Sakthivel; Rizwan Patan; Amir H. Gandomi; Muthuramalingam Sankayya; Balamurugan Balusamy","2018","Neural Computing and Applications","Springer Science and Business Media LLC","journal-article","143","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1007/s00521-018-3915-1","","no",""
"cited_reference","10.1007/s10878-024-01249-0","verified","Optimal blocks for maximizing the transaction fee revenue of Bitcoin miners","Mohsen Alambardar Meybodi; Amir Goharshady; Mohammad Reza Hooshmandasl; Ali Shakiba","2024","Journal of Combinatorial Optimization","Springer Science and Business Media LLC","journal-article","4","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1007/s10878-024-01249-0","https://link.springer.com/content/pdf/10.1007/s10878-024-01249-0.pdf","yes","papers/Optimal_blocks_for_maximizing_the_transaction_fee_revenue_of_Bitcoin_miners.pdf"
"cited_reference","10.1016/j.adhoc.2025.104059","verified","A blockchain-integrated PUF framework for secure authentication and communication","Koustav Kumar Mondal; Debasis Das; Arpit Khandelwal","2026","Ad Hoc Networks","Elsevier BV","journal-article","2","project with reviewers updates ok ok (1)","https://doi.org/10.1016/j.adhoc.2025.104059","","no",""
"cited_reference","10.1016/j.agwat.2010","not_resolved","","","","","","","","project with reviewers updates ok ok (1)","https://doi.org/10.1016/j.agwat.2010","","no",""
"cited_reference","10.1016/j.comnet.2020.107344","verified","Cloud based security on outsourcing using blockchain in E-health systems","T. Benil; J. Jasper","2020","Computer Networks","Elsevier BV","journal-article","91","Enhancing_Bitcoin_Scalability_through_Parallel_Programming_and_Chinese","https://doi.org/10.1016/j.comnet.2020.107344","","no",""
"cited_reference","10.1016/j.compag","malformed_or_incomplete","","","","","","","","paper version 1 to upload for report | project with reviewers updates ok ok (1)","https://doi.org/10.1016/j.compag","","no",""
"cited_reference","10.1016/j.compag.2005.09.003","verified","Wireless sensors in agriculture and food industry—Recent development and future perspective","Ning Wang; Naiqian Zhang; Maohua Wang","2006","Computers and Electronics in Agriculture","Elsevier BV","journal-article","776","paper version 1 to upload for report | project with reviewers updates ok ok (1)","https://doi.org/10.1016/j.compag.2005.09.003","","no",""
"cited_reference","10.1016/j.compag.2018.05.012","verified","Machine learning approaches for crop yield prediction and nitrogen status estimation in precision agriculture: A review","Anna Chlingaryan; Salah Sukkarieh; Brett Whelan","2018","Computers and Electronics in Agriculture","Elsevier BV","journal-article","1383","paper version 1 to upload for report","https://doi.org/10.1016/j.compag.2018.05.012","","no",""
